"treatment","microbe","date","time","15","30","45","60","75","90","105","120","135","150","165","180","195","210","225","240","255","270","285","300","315","330","345","360","375","390","405","420","435","450","465","480","495","510","525","540","555","570","585","600","615","630","645","660","675","690","705","720","735","750","765","780","795","810","825","840","855","870","885","900","915","930","945","960","975","990","1005","1020","1035","1050","1065","1080","1095","1110","1125","1140","1155","1170","1185","1200","1215","1230","1245","1260","1275","1290","1305","1320","1335","1350","1365","1380","1395","1410","1425","1440","1455","1470","1485","1500","1515","1530","1545","1560","1575","1590","1605","1620","1635","1650","1665","1680","1695","1710","1725","1740","1755","1770","1785","1800","1815","1830","1845","1860","1875","1890","1905","1920","1935","1950","1965","1980","1995","2010","2025","2040","2055","2070","2085","2100","2115","2130","2145","2160","2175","2190","2205","2220","2235","2250","2265","2280","2295","2310","2325","2340","2355","2370","2385","2400","2415","2430","2445","2460","2475","2490","2505","2520","2535","2550","2565","2580","2595","2610","2625","2640","2655","2670","2685","2700","2715","2730","2745","2760","2775","2790","2805","2820","2835","2850","2865","2880","2895","2910","2925","2940","2955","2970","2985","3000","3015","3030","3045","3060","3075","3090","3105","3120","3135","3150","3165","3180","3195","3210","3225","3240","3255","3270","3285","3300","3315","3330","3345","3360","3375","3390","3405","3420","3435","3450","3465","3480","3495","3510","3525","3540","3555","3570","3585","3600","3615","3630","3645","3660","3675","3690","3705","3720","3735","3750","3765","3780","3795","3810","3825","3840","3855","3870","3885","3900","3915","3930","3945","3960","3975","3990","4005","4020","4035","4050","4065","4080","4095","4110","4125","4140","4155","4170","4185","4200","4215","4230","4245","4260","4275","4290","4305","4320","4335"
"treatment","bb362","mar 9","A1",0.122,0.122,0.123,0.123,0.124,0.125,0.126,0.126,0.127,0.127,0.128,0.128,0.129,0.129,0.129,0.129,0.13,0.13,0.13,0.13,0.13,0.13,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.13,0.131,0.13,0.131,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.127,0.127,0.127,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.126,0.127,0.127,0.127,0.127,0.127,0.127,0.126,0.127,0.126,0.127,0.126,0.126,0.126,0.127,0.126,0.127,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.124,0.125,0.124,0.124,0.124,0.124
"treatment","02-343","mar 9","A10",0.124,0.123,0.124,0.124,0.125,0.125,0.126,0.126,0.126,0.127,0.128,0.128,0.128,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.13,0.13,0.13,0.13,0.13,0.131,0.131,0.131,0.132,0.132,0.132,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.132,0.132,0.132,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.129,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.129,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.129,0.128,0.129,0.128,0.128,0.128,0.128,0.129,0.129,0.128,0.128,0.129,0.129,0.128,0.128,0.13,0.128,0.129,0.128,0.129,0.129,0.129,0.129,0.129,0.128,0.129,0.129,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.129,0.129,0.129,0.129,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.129,0.129
"treatment","ec124","mar 9","A11",0.124,0.124,0.124,0.124,0.125,0.125,0.126,0.126,0.127,0.127,0.127,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.13,0.13,0.129,0.13,0.129,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.127,0.128,0.127,0.127,0.128,0.128,0.128,0.128,0.127,0.128,0.127,0.128,0.128,0.127,0.127,0.127,0.128,0.127,0.127,0.127,0.127,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.128,0.127,0.127,0.127,0.128,0.127,0.127,0.127,0.128,0.127,0.127,0.128,0.127,0.127,0.128,0.128,0.128,0.127,0.128,0.128,0.127,0.128,0.128,0.128,0.128,0.127,0.127,0.128,0.127,0.128,0.128,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.128,0.127,0.128,0.128,0.127,0.128,0.128,0.127,0.128,0.127,0.127,0.127,0.128,0.128,0.127,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.127,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.127,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128
"treatment","11-228","mar 9","A12",0.122,0.122,0.123,0.123,0.124,0.124,0.125,0.126,0.127,0.127,0.127,0.127,0.128,0.128,0.128,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.131,0.131,0.13,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.13,0.13,0.13,0.131,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.129,0.129,0.129,0.129,0.129,0.128,0.129,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.129,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.132,0.129,0.129,0.13,0.13,0.129,0.129,0.129,0.129,0.131,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.129,0.129,0.131,0.129,0.131,0.129,0.129,0.129,0.129,0.13,0.129,0.13,0.13,0.129,0.129,0.129,0.13,0.129,0.13,0.129,0.13,0.129,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.13,0.129,0.13,0.129,0.129,0.129,0.13,0.129,0.129,0.13,0.129,0.129,0.13,0.13,0.129,0.13,0.129,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.13,0.131,0.129,0.13,0.13,0.129,0.13,0.129,0.129,0.13,0.129,0.13,0.13,0.13,0.13,0.129,0.129,0.131,0.129,0.131,0.131,0.13,0.129,0.129,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.129,0.13
"treatment","scc187","mar 9","A2",0.122,0.122,0.123,0.123,0.123,0.124,0.125,0.125,0.126,0.126,0.126,0.127,0.127,0.127,0.127,0.127,0.127,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.127,0.128,0.128,0.127,0.127,0.128,0.127,0.127,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.126,0.127,0.127,0.126,0.127,0.127,0.127,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.126,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126
"treatment","ec116","mar 9","A3",0.122,0.122,0.123,0.123,0.124,0.124,0.125,0.125,0.126,0.126,0.127,0.127,0.127,0.127,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.129,0.129,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.128,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.128,0.128,0.128,0.128,0.127,0.127,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127
"treatment","p. caro","mar 9","A4",0.121,0.121,0.122,0.122,0.122,0.123,0.124,0.124,0.125,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.127,0.126,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.126,0.127,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.125,0.126,0.126,0.126,0.126,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.126,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.126,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.126,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.126,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
"treatment","ec52","mar 9","A5",0.122,0.122,0.122,0.122,0.123,0.124,0.124,0.125,0.125,0.125,0.126,0.126,0.127,0.127,0.128,0.129,0.13,0.131,0.131,0.132,0.132,0.132,0.133,0.133,0.133,0.135,0.134,0.133,0.136,0.137,0.136,0.138,0.141,0.143,0.139,0.149,0.135,0.137,0.134,0.133,0.15,0.138,0.143,0.143,0.15,0.148,0.134,0.135,0.149,0.167,0.152,0.164,0.142,0.147,0.151,0.158,0.159,0.166,0.173,0.18,0.19,0.197,0.203,0.208,0.208,0.215,0.226,0.23,0.24,0.242,0.265,0.27,0.289,0.313,0.353,0.39,0.407,0.428,0.475,0.497,0.535,0.57,0.605,0.642,0.676,0.714,0.753,0.792,0.829,0.867,0.902,0.927,0.963,0.998,1.026,1.061,1.091,1.123,1.154,1.182,1.21,1.238,1.266,1.289,1.316,1.34,1.363,1.385,1.405,1.422,1.437,1.453,1.472,1.483,1.497,1.51,1.514,1.52,1.523,1.524,1.525,1.527,1.526,1.529,1.532,1.536,1.539,1.546,1.549,1.554,1.561,1.562,1.57,1.576,1.579,1.585,1.59,1.593,1.601,1.606,1.612,1.617,1.621,1.626,1.635,1.638,1.645,1.652,1.658,1.664,1.673,1.679,1.688,1.692,1.698,1.703,1.71,1.718,1.724,1.729,1.736,1.741,1.743,1.749,1.753,1.758,1.763,1.763,1.762,1.769,1.774,1.78,1.785,1.791,1.797,1.801,1.808,1.812,1.816,1.823,1.829,1.833,1.839,1.846,1.853,1.853,1.855,1.859,1.869,1.875,1.88,1.886,1.895,1.908,1.917,1.915,1.917,1.917,1.922,1.925,1.926,1.936,1.942,1.95,1.957,1.964,1.971,1.977,1.984,1.992,1.995,1.998,2.006,2.011,2.014,2.021,2.023,2.027,2.033,2.038,2.039,2.044,2.048,2.054,2.056,2.063,2.066,2.067,2.07,2.072,2.079,2.08,2.084,2.089,2.092,2.092,2.096,2.099,2.1,2.105,2.103,2.098,2.103,2.106,2.107,2.11,2.114,2.118,2.12,2.125,2.124,2.124,2.125,2.126,2.126,2.13,2.131,2.133,2.133,2.133,2.137,2.137,2.14,2.141,2.147,2.149,2.149,2.151,2.153,2.153,2.154,2.159,2.159,2.164,2.167,2.169,2.173,2.175,2.179,2.18,2.183,2.185,2.19,2.19,2.197,2.197,2.203,2.204,2.209
"treatment","62-268","mar 9","A6",0.122,0.122,0.122,0.123,0.123,0.124,0.124,0.125,0.125,0.126,0.126,0.127,0.127,0.127,0.128,0.128,0.128,0.128,0.128,0.129,0.129,0.129,0.129,0.129,0.129,0.13,0.13,0.13,0.131,0.131,0.132,0.132,0.132,0.132,0.131,0.131,0.13,0.13,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.128,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.127,0.126,0.126,0.126,0.126,0.126,0.127,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.127,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.127,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126
