wells,row,microbe,cells_per_ul,dilution,Microbe
E1,E,1,1000,0.0625,A. nectaris
C1,C,1,2000,0.125,A. nectaris
A1,A,1,4000,0.25,A. nectaris
G1,G,1,4250,0.3333333333,A. nectaris
F1,F,1,600,0.0625,A. nectaris
D1,D,1,1200,0.125,A. nectaris
B1,B,1,2400,0.25,A. nectaris
H1,H,1,3200,0.3333333333,A. nectaris
E2,E,2,339.75,0.0625,P. agglomerans
C2,C,2,679.5,0.125,P. agglomerans
A2,A,2,1359,0.25,P. agglomerans
G2,G,2,1812,0.3333333333,P. agglomerans
F2,F,2,687,0.0625,P. agglomerans
D2,D,2,1374,0.125,P. agglomerans
B2,B,2,2748,0.25,P. agglomerans
H2,H,2,1916,0.3333333333,P. agglomerans
E3,E,3,2187,0.0625,B. subtilis
C3,C,3,4374,0.125,B. subtilis
A3,A,3,8748,0.25,B. subtilis
G3,G,3,8166,0.3333333333,B. subtilis
F3,F,3,687,0.0625,B. subtilis
D3,D,3,1374,0.125,B. subtilis
B3,B,3,2748,0.25,B. subtilis
H3,H,3,7750,0.3333333333,B. subtilis
E4,E,4,625,0.0625,P. carotovorum
C4,C,4,1250,0.125,P. carotovorum
A4,A,4,2500,0.25,P. carotovorum
G4,G,4,2083,0.3333333333,P. carotovorum
F4,F,4,312,0.0625,P. carotovorum
D4,D,4,624,0.125,P. carotovorum
B4,B,4,1248,0.25,P. carotovorum
H4,H,4,1664,0.3333333333,P. carotovorum
E5,E,5,38666,0.0625,M. reukaufii
C5,C,5,77332,0.125,M. reukaufii
A5,A,5,154664,0.25,M. reukaufii
G5,G,5,206218.6667,0.3333333333,M. reukaufii
F5,F,5,52333,0.0625,M. reukaufii
D5,D,5,104666,0.125,M. reukaufii
B5,B,5,209332,0.25,M. reukaufii
H5,H,5,279109.3333,0.3333333333,M. reukaufii
E6,E,6,28562,0.0625,S. cerevisiae
C6,C,6,57124,0.125,S. cerevisiae
A6,A,6,114248,0.25,S. cerevisiae
G6,G,6,152330.6667,0.3333333333,S. cerevisiae
F6,F,6,31166,0.0625,S. cerevisiae
D6,D,6,62332,0.125,S. cerevisiae
B6,B,6,124664,0.25,S. cerevisiae
H6,H,6,166218.6667,0.3333333333,S. cerevisiae
E7,E,7,140.625,0.0625,A. pullulans
C7,C,7,281.25,0.125,A. pullulans
A7,A,7,562.5,0.25,A. pullulans
G7,G,7,750,0.3333333333,A. pullulans
F7,F,7,152.25,0.0625,A. pullulans
D7,D,7,304.5,0.125,A. pullulans
B7,B,7,609,0.25,A. pullulans
H7,H,7,812,0.3333333333,A. pullulans
E8,E,8,36583,0.0625,S. bombi
C8,C,8,73166,0.125,S. bombi
A8,A,8,146332,0.25,S. bombi
G8,G,8,195109.3333,0.3333333333,S. bombi
F8,F,8,48000,0.0625,S. bombi
D8,D,8,96000,0.125,S. bombi
B8,B,8,192000,0.25,S. bombi
H8,H,8,256000,0.3333333333,S. bombi
E9,E,9,492.1875,0.0625,P. mandelii
C9,C,9,984.375,0.125,P. mandelii
A9,A,9,1968.75,0.25,P. mandelii
G9,G,9,2625,0.3333333333,P. mandelii
F9,F,9,58.5,0.0625,P. mandelii
D9,D,9,117,0.125,P. mandelii
B9,B,9,234,0.25,P. mandelii
H9,H,9,312,0.3333333333,P. mandelii
E10,E,10,187.5,0.0625,Z. bailii
C10,C,10,375,0.125,Z. bailii
A10,A,10,750,0.25,Z. bailii
G10,G,10,1000,0.3333333333,Z. bailii
F10,F,10,292.875,0.0625,Z. bailii
D10,D,10,585.75,0.125,Z. bailii
B10,B,10,1171.5,0.25,Z. bailii
H10,H,10,1562,0.3333333333,Z. bailii
E11,E,11,164.0625,0.0625,R. nectarea
C11,C,11,328.125,0.125,R. nectarea
A11,A,11,656.25,0.25,R. nectarea
G11,G,11,875,0.3333333333,R. nectarea
F11,F,11,81.9375,0.0625,R. nectarea
D11,D,11,163.875,0.125,R. nectarea
B11,B,11,327.75,0.25,R. nectarea
H11,H,11,437,0.3333333333,R. nectarea
E12,E,12,128.8125,0.0625,R. fujisanensis
C12,C,12,257.625,0.125,R. fujisanensis
A12,A,12,515.25,0.25,R. fujisanensis
G12,G,12,687,0.3333333333,R. fujisanensis
F12,F,12,156.1875,0.0625,R. fujisanensis
D12,D,12,312.375,0.125,R. fujisanensis
B12,B,12,624.75,0.25,R. fujisanensis
H12,H,12,833,0.3333333333,R. fujisanensis
