Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:13:38,0.108,0.108,0.107,0.11,0.11,0.11,0.116,0.115,0.109,0.11,0.109,0.108,0.107,0.112,0.109,0.108,0.107,0.109,0.108,0.109,0.11,0.109,0.109,0.108,0.108,0.103,0.105,0.105,0.107,0.171,0.104,0.104,0.104,0.122,0.104,0.104,0.108,0.457,0.104,0.264,0.103,0.103,0.103,0.103,0.104,0.105,0.104,0.111,0.109,0.109,0.109,0.11,0.107,0.108,0.153,0.108,0.11,0.106,0.108,0.112,0.111,0.109,0.106,0.109,0.103,0.108,0.108,0.109,0.105,0.108,0.112,0.108,0.108,0.11,0.107,0.11,0.108,0.107,0.108,0.109,0.109,0.108,0.111,0.108,0.108,0.11,0.107,0.11,0.111,0.107,0.108,0.108,0.112,0.113,0.114,0.167
0:28:38,0.108,0.109,0.108,0.111,0.111,0.11,0.116,0.115,0.11,0.11,0.109,0.109,0.107,0.113,0.11,0.109,0.107,0.109,0.108,0.109,0.11,0.109,0.109,0.108,0.108,0.102,0.105,0.105,0.106,0.172,0.103,0.103,0.104,0.122,0.104,0.104,0.108,0.466,0.104,0.268,0.103,0.103,0.102,0.104,0.104,0.104,0.104,0.11,0.109,0.109,0.109,0.11,0.108,0.108,0.157,0.108,0.11,0.106,0.108,0.112,0.109,0.109,0.106,0.109,0.103,0.108,0.108,0.109,0.11,0.108,0.112,0.109,0.109,0.11,0.107,0.11,0.109,0.108,0.108,0.109,0.11,0.108,0.111,0.108,0.108,0.11,0.107,0.11,0.112,0.108,0.109,0.109,0.112,0.113,0.115,0.171
0:43:38,0.108,0.109,0.108,0.111,0.111,0.111,0.117,0.115,0.11,0.11,0.109,0.109,0.107,0.113,0.11,0.109,0.108,0.109,0.108,0.109,0.11,0.109,0.109,0.109,0.108,0.102,0.105,0.105,0.107,0.171,0.103,0.103,0.104,0.121,0.104,0.104,0.104,0.47,0.103,0.271,0.103,0.103,0.102,0.103,0.104,0.104,0.104,0.11,0.11,0.11,0.11,0.11,0.108,0.109,0.159,0.108,0.111,0.106,0.108,0.112,0.109,0.11,0.106,0.11,0.103,0.108,0.109,0.109,0.111,0.108,0.113,0.109,0.109,0.11,0.107,0.11,0.109,0.108,0.109,0.109,0.11,0.108,0.112,0.108,0.108,0.11,0.108,0.11,0.112,0.108,0.109,0.109,0.112,0.114,0.115,0.172
0:58:38,0.109,0.109,0.108,0.111,0.111,0.111,0.117,0.116,0.11,0.111,0.11,0.109,0.108,0.113,0.11,0.109,0.108,0.11,0.109,0.109,0.111,0.11,0.11,0.109,0.108,0.103,0.105,0.105,0.107,0.172,0.103,0.104,0.104,0.121,0.104,0.104,0.104,0.473,0.103,0.273,0.103,0.103,0.102,0.103,0.104,0.105,0.104,0.109,0.11,0.11,0.11,0.111,0.108,0.109,0.16,0.108,0.111,0.107,0.109,0.113,0.109,0.11,0.106,0.11,0.104,0.109,0.109,0.11,0.111,0.109,0.113,0.109,0.109,0.111,0.108,0.11,0.109,0.108,0.109,0.11,0.11,0.109,0.112,0.108,0.108,0.11,0.108,0.111,0.113,0.108,0.109,0.109,0.113,0.114,0.115,0.174
1:13:38,0.109,0.109,0.108,0.112,0.111,0.111,0.117,0.116,0.11,0.111,0.11,0.109,0.108,0.114,0.11,0.11,0.108,0.11,0.109,0.109,0.111,0.11,0.11,0.109,0.108,0.103,0.105,0.105,0.106,0.172,0.103,0.103,0.104,0.121,0.104,0.104,0.104,0.476,0.103,0.275,0.103,0.103,0.102,0.103,0.104,0.104,0.104,0.109,0.11,0.11,0.11,0.111,0.108,0.109,0.159,0.109,0.111,0.107,0.109,0.113,0.11,0.11,0.106,0.11,0.104,0.108,0.109,0.11,0.111,0.109,0.113,0.11,0.109,0.111,0.108,0.111,0.109,0.108,0.109,0.11,0.11,0.109,0.112,0.109,0.109,0.11,0.108,0.111,0.113,0.108,0.109,0.109,0.113,0.114,0.118,0.173
1:28:38,0.109,0.11,0.109,0.112,0.112,0.112,0.117,0.116,0.111,0.111,0.11,0.11,0.108,0.114,0.11,0.11,0.109,0.11,0.109,0.11,0.111,0.11,0.11,0.109,0.107,0.102,0.105,0.105,0.106,0.172,0.103,0.103,0.104,0.121,0.104,0.104,0.104,0.476,0.103,0.278,0.103,0.103,0.102,0.103,0.104,0.104,0.104,0.109,0.11,0.11,0.11,0.111,0.109,0.109,0.16,0.109,0.111,0.107,0.109,0.113,0.109,0.111,0.107,0.111,0.104,0.109,0.109,0.11,0.111,0.109,0.114,0.11,0.109,0.111,0.108,0.111,0.109,0.108,0.11,0.11,0.11,0.109,0.112,0.109,0.109,0.11,0.108,0.111,0.113,0.109,0.11,0.109,0.113,0.114,0.118,0.175
1:43:38,0.109,0.11,0.109,0.112,0.112,0.112,0.118,0.118,0.111,0.112,0.11,0.11,0.108,0.114,0.111,0.11,0.109,0.11,0.109,0.11,0.112,0.11,0.11,0.11,0.107,0.103,0.105,0.105,0.106,0.171,0.103,0.103,0.104,0.12,0.104,0.104,0.104,0.477,0.104,0.275,0.103,0.103,0.102,0.103,0.104,0.104,0.104,0.109,0.11,0.111,0.111,0.111,0.109,0.11,0.159,0.109,0.111,0.108,0.109,0.114,0.11,0.111,0.107,0.111,0.104,0.109,0.11,0.11,0.112,0.109,0.114,0.11,0.11,0.111,0.108,0.111,0.11,0.109,0.11,0.11,0.111,0.109,0.113,0.109,0.109,0.111,0.108,0.111,0.113,0.109,0.11,0.11,0.113,0.115,0.118,0.174
1:58:38,0.109,0.11,0.109,0.112,0.112,0.112,0.117,0.117,0.111,0.112,0.11,0.11,0.108,0.114,0.111,0.11,0.109,0.11,0.109,0.11,0.112,0.111,0.11,0.11,0.107,0.102,0.105,0.105,0.106,0.172,0.103,0.103,0.104,0.12,0.103,0.104,0.104,0.478,0.103,0.277,0.103,0.103,0.102,0.103,0.104,0.104,0.103,0.109,0.11,0.111,0.111,0.111,0.108,0.11,0.16,0.109,0.111,0.108,0.109,0.113,0.11,0.111,0.107,0.111,0.104,0.109,0.11,0.11,0.111,0.109,0.114,0.11,0.11,0.111,0.108,0.111,0.11,0.109,0.11,0.11,0.111,0.109,0.113,0.109,0.109,0.111,0.108,0.111,0.113,0.109,0.11,0.11,0.113,0.115,0.118,0.174
2:13:38,0.109,0.11,0.109,0.112,0.112,0.112,0.118,0.117,0.111,0.112,0.11,0.11,0.109,0.114,0.111,0.11,0.109,0.111,0.109,0.11,0.112,0.111,0.111,0.11,0.107,0.103,0.105,0.105,0.106,0.172,0.103,0.103,0.104,0.12,0.104,0.104,0.104,0.478,0.104,0.279,0.103,0.103,0.102,0.103,0.104,0.104,0.104,0.109,0.111,0.111,0.111,0.112,0.109,0.11,0.16,0.109,0.112,0.108,0.11,0.114,0.11,0.111,0.107,0.111,0.104,0.109,0.11,0.11,0.112,0.109,0.114,0.11,0.11,0.112,0.109,0.112,0.11,0.109,0.11,0.11,0.111,0.11,0.113,0.109,0.109,0.111,0.109,0.112,0.114,0.109,0.11,0.11,0.114,0.115,0.119,0.177
2:28:38,0.11,0.11,0.109,0.112,0.112,0.112,0.118,0.12,0.111,0.112,0.111,0.11,0.109,0.114,0.111,0.111,0.109,0.111,0.11,0.11,0.112,0.111,0.111,0.11,0.107,0.102,0.105,0.105,0.106,0.17,0.103,0.103,0.104,0.12,0.103,0.104,0.104,0.477,0.103,0.277,0.103,0.102,0.102,0.103,0.104,0.104,0.104,0.109,0.111,0.111,0.111,0.112,0.109,0.11,0.16,0.109,0.112,0.108,0.11,0.114,0.11,0.111,0.107,0.111,0.104,0.109,0.11,0.11,0.112,0.11,0.115,0.11,0.11,0.112,0.109,0.112,0.11,0.109,0.11,0.11,0.111,0.11,0.113,0.11,0.11,0.111,0.109,0.112,0.114,0.109,0.11,0.11,0.114,0.115,0.119,0.175
