well,microbe,treatment,type,name
A1,bb362,tsb,bacteria,A. nectaris
B1,bb362,10xaa,bacteria,A. nectaris
C1,bb362,tsb,bacteria,A. nectaris
D1,bb362,10xaa,bacteria,A. nectaris
E1,ec102,tsb,yeast,Aureobasidium 
F1,ec102,10xaa,yeast,Aureobasidium 
G1,ec102,tsb,yeast,Aureobasidium 
H1,ec102,10xaa,yeast,Aureobasidium 
A2,scc187,tsb,bacteria,Pantoea 
B2,scc187,10xaa,bacteria,Pantoea 
C2,scc187,tsb,bacteria,Pantoea 
D2,scc187,10xaa,bacteria,Pantoea 
E2,q1f2,tsb,yeast,Starmerella 
F2,q1f2,10xaa,yeast,Starmerella 
G2,q1f2,tsb,yeast,Starmerella 
H2,q1f2,10xaa,yeast,Starmerella 
A3,ec116,tsb,bacteria,Bacillus 
B3,ec116,10xaa,bacteria,Bacillus 
C3,ec116,tsb,bacteria,Bacillus 
D3,ec116,10xaa,bacteria,Bacillus 
E3,q1b4,tsb,bacteria,Pseudomonas 
F3,q1b4,10xaa,bacteria,Pseudomonas 
G3,q1b4,tsb,bacteria,Pseudomonas 
H3,q1b4,10xaa,bacteria,Pseudomonas 
A4,p. caro,tsb,bacteria,Pectobacterium 
B4,p. caro,10xaa,bacteria,Pectobacterium 
C4,p. caro,tsb,bacteria,Pectobacterium 
D4,p. caro,10xaa,bacteria,Pectobacterium 
E4,02-343,tsb,yeast,Zygosaccharomyces 
F4,02-343,10xaa,yeast,Zygosaccharomyces 
G4,02-343,tsb,yeast,Zygosaccharomyces 
H4,02-343,10xaa,yeast,Zygosaccharomyces 
A5,ec52,tsb,yeast,Metschnikowia 
B5,ec52,10xaa,yeast,Metschnikowia 
C5,ec52,tsb,yeast,Metschnikowia 
D5,ec52,10xaa,yeast,Metschnikowia 
E5,ec124,tsb,bacteria,Rosenbergiella 
F5,ec124,10xaa,bacteria,Rosenbergiella 
G5,ec124,tsb,bacteria,Rosenbergiella 
H5,ec124,10xaa,bacteria,Rosenbergiella 
A6,62-268,tsb,yeast,Saccharomyces 
B6,62-268,10xaa,yeast,Saccharomyces 
C6,62-268,tsb,yeast,Saccharomyces 
D6,62-268,10xaa,yeast,Saccharomyces 
E6,11-228,tsb,yeast,Rhodotorula 
F6,11-228,10xaa,yeast,Rhodotorula 
G6,11-228,tsb,yeast,Rhodotorula 
H6,11-228,10xaa,yeast,Rhodotorula 
A7,ec102,tsb,yeast,Aureobasidium 
B7,ec102,10xaa,yeast,Aureobasidium 
C7,ec102,tsb,yeast,Aureobasidium 
D7,ec102,10xaa,yeast,Aureobasidium 
E7,bb362,tsb,bacteria,A. nectaris
F7,bb362,10xaa,bacteria,A. nectaris
G7,bb362,tsb,bacteria,A. nectaris
H7,bb362,10xaa,bacteria,A. nectaris
A8,q1f2,tsb,yeast,Starmerella 
B8,q1f2,10xaa,yeast,Starmerella 
C8,q1f2,tsb,yeast,Starmerella 
D8,q1f2,10xaa,yeast,Starmerella 
E8,scc187,tsb,bacteria,Pantoea 
F8,scc187,10xaa,bacteria,Pantoea 
G8,scc187,tsb,bacteria,Pantoea 
H8,scc187,10xaa,bacteria,Pantoea 
A9,q1b4,tsb,bacteria,Pseudomonas 
B9,q1b4,10xaa,bacteria,Pseudomonas 
C9,q1b4,tsb,bacteria,Pseudomonas 
D9,q1b4,10xaa,bacteria,Pseudomonas 
E9,ec116,tsb,bacteria,Bacillus 
F9,ec116,10xaa,bacteria,Bacillus 
G9,ec116,tsb,bacteria,Bacillus 
H9,ec116,10xaa,bacteria,Bacillus 
A10,02-343,tsb,yeast,Zygosaccharomyces 
B10,02-343,10xaa,yeast,Zygosaccharomyces 
C10,02-343,tsb,yeast,Zygosaccharomyces 
D10,02-343,10xaa,yeast,Zygosaccharomyces 
E10,p. caro,tsb,bacteria,Pectobacterium 
F10,p. caro,10xaa,bacteria,Pectobacterium 
G10,p. caro,tsb,bacteria,Pectobacterium 
H10,p. caro,10xaa,bacteria,Pectobacterium 
A11,ec124,tsb,bacteria,Rosenbergiella 
B11,ec124,10xaa,bacteria,Rosenbergiella 
C11,ec124,tsb,bacteria,Rosenbergiella 
D11,ec124,10xaa,bacteria,Rosenbergiella 
E11,ec52,tsb,yeast,Metschnikowia 
F11,ec52,10xaa,yeast,Metschnikowia 
G11,ec52,tsb,yeast,Metschnikowia 
H11,ec52,10xaa,yeast,Metschnikowia 
A12,11-228,tsb,yeast,Rhodotorula 
B12,11-228,10xaa,yeast,Rhodotorula 
C12,11-228,tsb,yeast,Rhodotorula 
D12,11-228,10xaa,yeast,Rhodotorula 
E12,62-268,tsb,yeast,Saccharomyces 
F12,62-268,10xaa,yeast,Saccharomyces 
G12,62-268,tsb,yeast,Saccharomyces 
H12,62-268,10xaa,yeast,Saccharomyces 
