"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","mar 24",TRUE,"richards",FALSE,FALSE,0,3.01656501792475e-05,1.9191291294129,0.0139065584760882,54.2986237343032,1.00730869955214e-05,18.3144534144896,5.78258914053567e-05,1.35954220716148e-05,4.67358782868802e-05,-28.2081467374225,32.0464049962483,0.0138114348847264,0.0140016820674501,1.04223996680256e-05,4.99089006904694e-05,-33.9771995629868,37.8154578218126,0.0137932197289337,0.0140198972232427,4.55830532334099e-05,18.8403372029098,0.0149137778816893,54.3170752094642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","mar 24",TRUE,"gompertz",FALSE,FALSE,0,1.05794297340782e-05,-424.636061922054,0.0185214522379886,67.9179964938327,2.33888429729994e-07,22.6935714064808,6.7514409386235e-05,1.01946832671724e-05,1.0964176200984e-05,-461.966986885715,-387.305136958393,0.0184103910345483,0.018632513441429,1.01210084118074e-05,1.1037851056349e-05,-469.115461878757,-380.156661965352,0.0183891239955916,0.0186537804803857,6.35699787847008e-05,12.4601407824551,0.0190172166325601,67.8973989723432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","mar 24",TRUE,"gompertz",FALSE,FALSE,0,1.03821262773897e-05,-377.481163802616,0.0184149772870674,66.6315949976905,2.27819175785113e-07,22.2808375612207,7.11202592728352e-05,1.00073637332232e-05,1.07568888215562e-05,-414.133141590825,-340.829186014408,0.0182979844605636,0.0185319701135712,9.93560069285088e-06,1.08286518619285e-05,-421.151605422609,-333.810722182624,0.0182755815788927,0.0185543729952422,3.76187764723051e-05,3.04286895969472,0.0190089894647901,66.589846341973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","mar 24",TRUE,"gompertz",FALSE,FALSE,0,1.06623709728503e-05,-362.781639978304,0.0178584654817198,65.4076620601344,2.10531950752788e-07,19.1136514436332,5.82358786638736e-05,1.0316045913862e-05,1.10086960318386e-05,-394.223596603081,-331.339683353528,0.0177626674613177,0.0179542635021218,1.02497283493748e-05,1.10750135963258e-05,-400.244396807825,-325.318883148783,0.0177443231595386,0.017972607803901,5.30649806241589e-05,8.94804744138974,0.0184674736991816,65.3837168221927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","mar 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000713197348311955,11.1523789623999,0.0461515781603776,69.7277341130661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","treatment","p. caro","mar 24",TRUE,"gompertz",FALSE,FALSE,0,1.01422562461487e-05,-440.465821169738,0.0183986548876832,67.0372526628943,2.33124144389688e-07,24.3475073167994,7.2232167492986e-05,9.75876702862771e-06,1.05257454636698e-05,-480.517470705873,-400.414171633603,0.0182798329721572,0.0185174768032091,9.68533292314496e-06,1.05991795691525e-05,-488.186935510665,-392.744706828812,0.0182570798393969,0.0185402299359694,5.41406635423362e-05,7.68056881505315,0.0190072464517296,67.0105193671738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","mar 24",TRUE,"gompertz",FALSE,FALSE,0,0.00055429524790123,1055.02854754012,1.91331806714172,2917.33550264403,1.58422725579921e-05,39.0832755759195,0.0835907694840916,0.000528234709543333,0.000580355786259127,990.736559217732,1119.32053586251,1.77581125134039,2.05082488294305,0.000523244393687566,0.000585346102114895,978.425327411318,1131.63176766892,1.7494801589529,2.07715597533054,0.00163804549982371,1438.18753325525,1.58387010014708,2881.37469780728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","mar 24",TRUE,"richards",FALSE,FALSE,0,0.00340202109390263,1495.93939284278,1.77340224390598,4758.46469402898,0.000320501466344186,38.273972924527,0.0103200624041576,0.00287479618176644,0.00392924600603882,1432.97870738193,1558.90007830362,1.75642574125114,1.79037874656082,0.00277383821986803,0.00403020396793724,1420.9224059107,1570.95637977485,1.75317492159383,1.79362956621813,0.00768046252917426,1665.10448648213,1.93536463059819,4751.80836109184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","mar 24",TRUE,"gompertz",FALSE,FALSE,0,9.83590068910762e-06,-375.993184309129,0.0171226293551187,62.2521241266407,2.11137008134948e-07,21.4905884686282,6.31320012089609e-05,9.48858031072563e-06,1.01832210674896e-05,-411.345202340023,-340.641166278236,0.01701877721313,0.0172264814971075,9.42207215316312e-06,1.02497292250521e-05,-418.114737707641,-333.871630910618,0.0169988906327492,0.0172463680774883,4.55049694364817e-05,8.12277072016616,0.0180124580006013,62.2185123077291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","treatment","q1f2","mar 24",TRUE,"gompertz",FALSE,FALSE,0,0.00276601318241701,1029.73376498269,1.58173227353158,4703.22909999631,7.66469416921178e-05,8.59266017186414,0.00515891375651233,0.00263992896333347,0.00289209740150054,1015.59883899998,1043.86869096541,1.57324586040212,1.59021868666104,0.00261578517670046,0.00291624118813356,1012.89215104584,1046.57537891955,1.57162080256882,1.59184374449434,0.00292376323479783,1055.07946537182,1.77453547104811,4718.92728972446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
