"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","apr 12",TRUE,"gompertz",FALSE,FALSE,0,1.11717143056613e-05,-138.813084495435,0.0128905478819573,48.7291242570744,2.12468713915501e-07,12.3511862507651,3.35155177392901e-05,1.08222032712703e-05,1.15212253400523e-05,-159.130785877944,-118.495383112927,0.0128354148552761,0.0129456809086384,1.07552756263869e-05,1.15881529849356e-05,-163.021409546935,-114.604759443936,0.0128248574671883,0.0129562382967263,2.70546435052197e-05,15.8379577235801,0.0130117683047791,48.7018508087144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","treatment","02-343","apr 12",TRUE,"gompertz",FALSE,FALSE,0,8.79613060264203e-06,-328.422172590902,0.0180952926368732,61.881347565031,2.05746383384034e-07,25.9841286516586,9.60593106180788e-05,8.45767780197529e-06,9.13458340330876e-06,-371.166064222881,-285.678280958924,0.0179372750709064,0.0182533102028399,8.39286769120932e-06,9.19939351407473e-06,-379.351064748153,-277.493280433651,0.0179070163880617,0.0182835688856846,2.85797466530681e-05,32.7832766074591,0.0192475562892063,61.7945532501048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","apr 12",TRUE,"gompertz",FALSE,FALSE,0,9.16339744781724e-06,-362.938701174581,0.0170188280836468,60.5870493426309,1.97403141831493e-07,22.4851664968453,6.97519723245999e-05,8.83866927950444e-06,9.48812561613005e-06,-399.926800061891,-325.95060228727,0.0169040860891728,0.0171335700781207,8.77648728982752e-06,9.55030760580697e-06,-407.009627508398,-318.867774840764,0.0168821142178906,0.017155541949403,3.64801602784305e-05,9.60108299622459,0.0180140523121242,60.5390170198642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","apr 12",TRUE,"gompertz",FALSE,FALSE,0,9.13664036618077e-06,-353.55329701145,0.0165850121169396,59.3129040068994,1.91029554724603e-07,21.3861045761518,6.44562414670879e-05,8.8223967486588e-06,9.45088398370274e-06,-388.73343903922,-318.37315498368,0.0164789815997263,0.016691042634153,8.76222243892055e-06,9.51105829344099e-06,-395.470061980708,-311.636532042192,0.0164586778836641,0.0167113463502151,3.4042707317944e-05,7.365522387546,0.0170175055504489,59.2712237987188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","apr 12",TRUE,"gompertz",FALSE,FALSE,0,7.1676072806165e-06,-403.129487810272,0.01635270579299,54.8669246747349,1.62563586633337e-07,27.7244432439189,9.2905461174018e-05,6.90019018060466e-06,7.43502438062834e-06,-448.736196946518,-357.522778674025,0.0161998763093587,0.0165055352766213,6.84898265081516e-06,7.48623191041785e-06,-457.469396568353,-348.789579052191,0.0161706110890889,0.0165348004968911,2.20975511395357e-05,15.7809401297701,0.017008403477614,54.8021925604849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","apr 12",TRUE,"gompertz",FALSE,FALSE,0,7.60820422090042e-06,-272.004080824597,0.0150643893730682,51.4706140587416,1.52248626324154e-07,21.2453760163708,6.77845414633642e-05,7.35775523059719e-06,7.85865321120365e-06,-306.952724371527,-237.055437277667,0.0149528838023609,0.0151758949437754,7.30979691330508e-06,7.90661152849576e-06,-313.645017816684,-230.36314383251,0.0149315316718,0.0151972470743364,1.54377110484916e-05,29.4002372944527,0.0160778920088692,51.3988782220346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","treatment","p. caro","apr 12",TRUE,"gompertz",FALSE,FALSE,0,8.81756089283875e-06,-365.693867578271,0.0164744560494849,58.5818444238897,1.92934332545466e-07,22.9605173971276,6.89847620049161e-05,8.50018391580146e-06,9.13493786987604e-06,-403.463918696545,-327.923816459996,0.0163609761159868,0.016587935982983,8.43940960104964e-06,9.19571218462787e-06,-410.696481676641,-320.6912534799,0.0163392459159552,0.0166096661830145,2.91386757464115e-05,4.11756597861671,0.0170118303073192,58.5356635848518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","apr 12",TRUE,"gompertz",FALSE,FALSE,0,0.00118582752971827,1101.8267288451,1.83856981938337,4300.23615388958,2.48344620847918e-05,16.0475375732423,0.0117351028641198,0.00114497483958879,0.00122668021984776,1075.42852953711,1128.22492815308,1.8192655751719,1.85787406359485,0.00113715198403208,0.00123450307540447,1070.37355520154,1133.27990248865,1.8155690177697,1.86157062099705,0.00207992791383505,1306.14981249056,1.94263486140732,4281.62546316951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","apr 12",TRUE,"gompertz",FALSE,FALSE,0,0.00267373238642623,994.898714738199,1.53107865799243,4605.24448607454,7.2034015226175e-05,8.36781947430182,0.00482546550208917,0.00255523643137917,0.00279222834147329,981.133651702972,1008.66377777343,1.52314076724149,1.53901654874337,0.00253254571658293,0.00281491905626954,978.497788568567,1011.29964090783,1.52162074560834,1.54053657037653,0.00398121601777798,1077.1668679478,1.61125745467823,4609.36124952056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","apr 12",TRUE,"gompertz",FALSE,FALSE,0,8.77643664995394e-06,-389.856087308828,0.0166083959220358,59.1482703389647,1.97922988297627e-07,24.1011280220517,7.13956617588993e-05,8.45085333420435e-06,9.10201996570354e-06,-429.502442905103,-350.209731712553,0.0164909500584424,0.0167258417856292,8.38850759289059e-06,9.16436570701729e-06,-437.094298232049,-342.617876385606,0.0164684604249884,0.0167483314190832,3.44948916956387e-05,7.8784324269943,0.0170136837723155,59.1063105791936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
