"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","apr 19",TRUE,"gompertz",FALSE,FALSE,0,1.93347713148207e-05,-165.151647334322,0.0179776368731979,70.6765923737059,3.5308989870215e-07,9.96266235745532,3.54612346526311e-05,1.87539384314557e-05,1.99156041981858e-05,-181.540226912336,-148.763067756308,0.0179193031421943,0.0180359706042015,1.86427151133645e-05,2.00268275162769e-05,-184.678465554935,-145.62482911371,0.0179081328532787,0.018047140893117,4.44232376792879e-05,-5.6189300069201,0.0182325805086342,70.6607704281105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","treatment","02-343","apr 19",TRUE,"gompertz",FALSE,FALSE,0,0.000193918383615701,4701.25192501984,3.32402555387595,307.976477468103,6.36457814935488e-05,1022.24851332744,1.50355371685451,8.92210730588132e-05,0.000298615694172589,3019.6531205962,6382.85072944347,0.850679689650287,5.79737141810162,6.91726518883454e-05,0.000318664115343057,2697.64483889806,6704.85901114161,0.377060268841117,6.27099083891079,0.000399694892618528,3754.34237290022,0.232072871943156,306.516829133794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","apr 19",TRUE,"gompertz",FALSE,FALSE,0,1.66166120996854e-05,-256.529071088769,0.0200462172239457,77.086991947494,4.49635334236525e-07,19.3403241428022,6.76681285411377e-05,1.58769619748663e-05,1.73562622245045e-05,-288.343904303679,-224.71423787386,0.0199349031524955,0.0201575312953958,1.57353268445818e-05,1.7497897354789e-05,-294.436106408662,-218.622035768877,0.019913587692005,0.0201788467558863,5.71906759798845e-05,9.90727086251421,0.0210144830694417,77.0463831031394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","apr 19",TRUE,"gompertz",FALSE,FALSE,0,1.54752591531416e-05,-316.144098754928,0.0209712382032277,79.8364099316649,3.24511104673799e-07,16.9515697108908,5.8356300774419e-05,1.49414383859532e-05,1.600907992033e-05,-344.029430929343,-288.258766580513,0.0208752420884538,0.0210672343180016,1.4839217387981e-05,1.61113009183023e-05,-349.369175388274,-282.919022121582,0.0208568598537099,0.0210856165527456,5.46764650618793e-05,-3.63388418658936,0.0215298180264434,79.8150255034738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","apr 19",TRUE,"gompertz",FALSE,FALSE,0,1.40962242561316e-05,-358.192656362178,0.0206869286193419,78.1018757518392,3.21804554179512e-07,20.019864085895,6.58970042966776e-05,1.35668557645063e-05,1.46255927477569e-05,-391.125332783476,-325.259979940881,0.0205785280472739,0.0207953291914099,1.34654873299398e-05,1.47269611823235e-05,-397.431589970533,-318.953722753824,0.0205577704909204,0.0208160867477634,5.20512495356068e-05,-3.08942745573462,0.0211985522545069,78.0749096114005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","apr 19",TRUE,"gompertz",FALSE,FALSE,0,1.46211450220277e-05,-312.841533138969,0.0205265058209405,77.528736993994,3.43455016307221e-07,19.4703982475714,6.7064800188075e-05,1.40561615202023e-05,1.51861285238531e-05,-344.870338256224,-280.812728021714,0.0204161842246311,0.0206368274172499,1.39479731900655e-05,1.52943168539898e-05,-351.003513704209,-274.679552573729,0.0203950588125719,0.0206579528293091,4.84099942178834e-05,2.9017610800924,0.0210194533891037,77.4945456935509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","treatment","p. caro","apr 19",TRUE,"gompertz",FALSE,FALSE,0,1.2532805197463e-05,-393.196819633455,0.0203101469888659,75.4734202049722,3.09126626492976e-07,23.6384137349993,7.66605392678383e-05,1.20242918968821e-05,1.3041318498044e-05,-432.082010227529,-354.311629039381,0.0201840404017703,0.0204362535759615,1.19269170095368e-05,1.31386933853893e-05,-439.528110554054,-346.865528712856,0.0201598923319009,0.0204604016458309,5.35295964613991e-05,7.31703446809429,0.021005795318764,75.4404237212685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","apr 19",TRUE,"gompertz",FALSE,FALSE,0,0.000641740107692328,871.2302052896,1.87824952521851,3529.90490242649,2.77459159842143e-05,52.8701983542406,0.0707517144045064,0.000596098075898295,0.00068738213948636,784.258728996875,958.201681582326,1.7618629550231,1.99463609541393,0.000587358112363268,0.000696122103021388,767.604616515289,974.855794063912,1.73957616498568,2.01692288545135,0.00355896162615238,2447.19886213756,1.69967225452147,3493.22727025249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","apr 19",TRUE,"logistic",FALSE,FALSE,0,0.0027342921321502,1433.02655315323,1.72458793976892,4460.83274245678,0.000223778069837195,29.378278534334,0.0180350967847273,0.00236617720726801,0.00310240705703238,1384.69928496425,1481.35382134221,1.69492020555804,1.75425567397979,0.0022956871152693,0.0031728971490311,1375.44512722594,1490.60797908053,1.68923915007085,1.75993672946698,0.0153107694855328,1747.67176342604,1.95115166875662,4463.63541433023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","apr 19",TRUE,"gompertz",FALSE,FALSE,0,1.23007463237986e-05,-473.920279501607,0.0211203187175638,78.6003504031941,4.00571977722299e-07,33.7532194576651,0.000104669983832118,1.16418054204454e-05,1.29596872271518e-05,-529.444325509466,-418.396233493748,0.02094813659416,0.0212925008409677,1.15156252474629e-05,1.30858674001343e-05,-540.076589638631,-407.763969364584,0.0209151655492529,0.0213254718858748,4.01346778604383e-05,-30.8261111301125,0.0218158171397857,78.5749877812451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
