"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","mar 9",TRUE,"logistic",FALSE,FALSE,0,7.01869287028813e-05,47.4756723963939,0.00528194710850771,22.4457018362941,5.18815105650869e-05,31.9615098328186,0.000120499409045844,-1.51581561766866e-05,0.000155532013582449,-5.1010112785927,100.05235607138,0.0050837255806273,0.00548016863638813,-3.1500832004689e-05,0.000171874689410452,-15.1688868759306,110.120231668718,0.00504576826677786,0.00551812595023757,4.39807770343256e-05,24.1062764990891,0.00903479368894565,22.4742458510208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","treatment","02-343","mar 9",TRUE,"logistic",FALSE,FALSE,0,3.84464996324893e-05,70.3762061287261,0.00508454580056351,21.3432296550112,1.32393526524219e-05,26.1547064836639,7.22858960224716e-05,1.66677645192553e-05,6.02252347457233e-05,27.3517139630991,113.400698294353,0.00496563550160654,0.00520345609952047,1.24973684337424e-05,6.43956308312362e-05,19.1129814207449,121.639430836707,0.00494286544435946,0.00522622615676755,2.97745343410219e-05,50.0269779729463,0.00897342385622777,21.3389697544077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","mar 9",TRUE,"logistic",FALSE,FALSE,0,3.94356017566569e-05,64.6297098483625,0.00410180816732518,17.3007904902988,1.2793392486305e-05,19.3826880093486,4.86255965773643e-05,1.83904711166853e-05,6.04807323966286e-05,32.745188072984,96.514231623741,0.00402181906095542,0.00418179727369495,1.43605524834992e-05,6.45106510298147e-05,26.6396413500392,102.619778346686,0.00400650199803355,0.00419711433661682,2.53223415328224e-05,34.3559719299825,0.00599386685123755,17.2985681654152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","mar 9",TRUE,"gompertz",FALSE,FALSE,0,4.47499796225098e-05,37.0078992741592,0.00732906859664631,30.8019763054864,7.19613417985799e-06,14.5204157975592,5.74692914963851e-05,3.29123388966434e-05,5.65876203483762e-05,13.1218152871744,60.893983261144,0.00723453161213476,0.00742360558115787,3.06455566299882e-05,5.88544026150315e-05,8.54788431094326,65.4679142373751,0.0072164287853134,0.00744170840797923,3.50797730411333e-05,15.7908575226727,0.00906094895396043,30.7976585548312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","mar 9",TRUE,"logistic",FALSE,FALSE,0,4.97669379733989e-05,49.3582479053012,0.00446668295116946,18.9394143331845,1.54057379176895e-05,15.9620287172268,4.65756880809885e-05,2.44244990987997e-05,7.51093768479982e-05,23.1007106654632,75.6157851451392,0.00439006594427623,0.00454329995806268,1.95716916547275e-05,7.99621842920704e-05,18.0726716195368,80.6438241910657,0.00437539460253072,0.00455797129980819,3.08323600160239e-05,19.269769456788,0.00605454456708393,18.9465458898616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","mar 9",TRUE,"logistic",FALSE,FALSE,0,4.46135854405235e-05,42.7832213999944,0.00534802799557857,22.6260340818649,8.74716644658368e-06,13.5124134549778,4.03141145389399e-05,3.02244966358933e-05,5.90026742451536e-05,20.5553012665559,65.0111415334329,0.00528171127716201,0.00541434471399512,2.74691392052195e-05,6.17580316758275e-05,16.2988910282379,69.2675517717509,0.00526901233108225,0.00542704366007489,3.33137648451464e-05,19.9767034007695,0.00702714000153012,22.6293406044674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","mar 9",TRUE,"gompertz",FALSE,FALSE,0,0.00146761223085838,879.856535252708,1.94924091176986,5234.94344649495,3.42444958374473e-05,15.9263624633201,0.0105024011724086,0.00141128003520578,0.00152394442651099,853.657669000547,906.05540150487,1.93196446184125,1.96651736169847,0.00140049301901699,0.00153473144269978,848.640864824601,911.072205680816,1.92865620547194,1.96982561806778,0.00261440491773167,1063.6545632963,2.08660715388109,5214.6357605927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","mar 9",TRUE,"logistic",FALSE,FALSE,0,4.89421347519127e-05,59.0603897693497,0.00466455116402744,19.720769538307,2.36014786528713e-05,26.4025008275143,7.85006912170247e-05,1.01177023679394e-05,8.77665671358859e-05,15.6282759080888,102.492503630611,0.00453541752697543,0.00479368480107944,2.68323659228497e-06,9.52010329115403e-05,7.31148814742177,110.809291391278,0.00451068980924207,0.00481841251881281,3.4434653281998e-05,40.039803138283,0.0098420207295316,19.7271072723978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","mar 9",TRUE,"logistic",FALSE,FALSE,0,3.52076288179942e-05,45.2873221434216,0.00404071950890601,17.0963571748625,6.2687474087278e-06,11.7444258662989,2.71784133080554e-05,2.4895539330637e-05,4.55197183053515e-05,25.9677415933599,64.6069026934834,0.00399601101901426,0.00408542799879776,2.29208838968878e-05,4.74943737391007e-05,22.2682474454758,68.3063968413675,0.00398744981882222,0.0040939891989898,2.45818871779868e-05,17.3260670600456,0.00518484113729103,17.1008814119201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","treatment","q1f2","mar 9",TRUE,"gompertz",FALSE,FALSE,0,0.00364898375528666,989.988312948532,2.19283210125912,6570.44803340744,7.91459697182197e-05,7.06065862714909,0.00574381605103404,0.00351878863510019,0.00377917887547314,978.373529506872,1001.60309639019,2.18338352385517,2.20228067866307,0.00349385765463895,0.00380410985593438,976.14942203932,1003.82720385774,2.18157422179909,2.20408998071914,0.00693961829335547,1116.58581697245,2.25358055401633,6590.49725062128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
