"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","feb 24",TRUE,"gompertz",FALSE,FALSE,0,0.000108055895453278,167.447548183247,0.00109388208624026,4.55186523990224,0.000266901383049478,29.5635032279021,1.72472698580807e-05,-0.000330996879663114,0.00054710867056967,118.815585373348,216.079510993146,0.00106551032732372,0.0011222538451568,-0.0004150708153237,0.000631182606230256,109.503081856559,225.392014509935,0.00106007743731842,0.0011276867351621,5.56243823381882e-06,81.9347355046642,0.00166101263899771,4.55395931230494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","treatment","02-343","feb 24",TRUE,"richards",FALSE,FALSE,0,1.89330272939386e-05,116.807542471048,0.0242374168753857,82.1062831848757,2.69914126179086e-07,6.16247651116328,5.19650208865443e-05,1.8489018556374e-05,1.93770360315032e-05,106.670268610185,126.944816331912,0.0241519344160273,0.024322899334744,1.84039956066276e-05,1.94620589812496e-05,104.729088509168,128.885996432928,0.0241355654344481,0.0243392683163233,2.04017965611108e-05,111.591526453683,0.0249805148483847,82.0899772871051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","feb 24",TRUE,"gompertz",FALSE,FALSE,0,1.08363686443541e-06,-385.913640866408,0.00203628538463444,7.26081102267205,8.48312480326907e-08,83.1200674138395,3.0190655422241e-05,9.44089461421636e-07,1.22318426744919e-06,-522.646151762174,-249.181129970643,0.00198662175646485,0.00208594901280402,9.17367618291339e-07,1.24990611057949e-06,-548.828972997534,-222.998308735283,0.00197711170000684,0.00209545906926203,4.41363336771521e-06,25.6419468043639,0.0020025890051829,7.2604353560906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","feb 24",TRUE,"gompertz",FALSE,FALSE,0,2.74619593976076e-06,-228.417525023427,0.00416485785538953,15.1830056823896,1.62006260264267e-07,50.07159505558,4.08899756726978e-05,2.47969564162604e-06,3.01269623789548e-06,-310.785298889856,-146.049751156998,0.00409759384540794,0.00423212186537111,2.4286636696428e-06,3.06372820987873e-06,-326.557851332364,-130.27719871449,0.00408471350307104,0.00424500220770801,7.4688362168822e-06,47.3158052377362,0.00457956274548476,15.1691337806903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73573963830524e-05,3871.54172635734,0.00804423373772567,10.0181175318156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","treatment","p. caro","feb 24",TRUE,"gompertz",FALSE,FALSE,0,2.63075993285228e-06,-107.301681135901,0.00202555074909636,8.0541885990968,1.81916045875384e-07,30.7793274284035,1.3948190380501e-05,2.33150803738728e-06,2.93001182831729e-06,-157.933674755625,-56.6696875161776,0.00200260597592044,0.00204849552227229,2.27420448293653e-06,2.98731538276803e-06,-167.629162895572,-46.9741993762305,0.00199821229595058,0.00205288920224215,9.26981117456343e-06,26.5102305093184,0.00211119236373043,8.05591071364077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","feb 24",TRUE,"gompertz",FALSE,FALSE,0,0.00143689532836606,596.473575885248,1.61251877192009,4978.67447595775,2.85886577275769e-05,11.7893576183212,0.00577741228475616,0.00138986698640419,0.00148392367032792,577.080082603109,615.867069167386,1.60301492871166,1.62202261512851,0.00138086155922,0.00149292909751211,573.366434953338,619.580716817157,1.60119504384196,1.62384249999821,0.00238297569979839,717.807601301174,1.75452257599285,4965.91365878364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0194224711853439,1992.60489925091,1.23862561474659,1452.19341084901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","feb 24",TRUE,"gompertz",FALSE,FALSE,0,2.97765756648609e-05,668.482226831145,0.103550669720471,190.196233365833,5.16813588532842e-07,24.3316585575884,0.00207336004330897,2.89264173117244e-05,3.06267340179974e-05,628.456648503912,708.507805158378,0.100139992449227,0.106961346991714,2.87636210313365e-05,3.07895302983852e-05,620.792176058272,716.172277604018,0.099486884035585,0.107614455405356,7.00253181872614e-05,1098.95457920644,0.0874685544957762,190.426184363802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","treatment","q1f2","feb 24",TRUE,"gompertz",FALSE,FALSE,0,0.000572836710021924,494.579390442111,1.15085200949765,3090.19621843628,2.21318814002563e-05,37.5985754460636,0.0153881635812382,0.000536429765118502,0.000609243654925345,432.729733833336,556.429047050885,1.12553848040652,1.17616553858879,0.000529458222477422,0.000616215197566426,420.886182567826,568.272598316395,1.12069120887843,1.18101281011688,0.00327919235157808,1356.96201794228,1.29660345155775,3065.43982274365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","treatment","q1b4","feb 24",TRUE,"logistic",FALSE,FALSE,0,3.12360365986544e-06,901.113369921477,0.00110840773606515,3.60948929928298,7.11738788202054e-07,46.3055827871037,2.02296878011511e-05,1.95279335327307e-06,4.29441396645782e-06,824.940686236691,977.286053606262,0.00107512989963226,0.00114168557249805,1.72859563498942e-06,4.51861168474147e-06,810.354427658753,991.8723121842,0.0010687575479749,0.00114805792415541,7.76420735483367e-06,1034.1008612284,0.00162423086116292,3.6062064553524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","treatment","bb362","feb 24",TRUE,"gompertz",FALSE,FALSE,0,6.34111829396952e-07,-1274.92739060121,0.00184759659020174,6.67226865969627,1.31365051349764e-07,392.51932941812,7.23249325248692e-05,4.18016319926589e-07,8.50207338867314e-07,-1920.62168749402,-629.233093708402,0.00172862207619833,0.00196657110420515,3.76636328751413e-07,8.9158733004249e-07,-2044.26527626073,-505.589504941694,0.001705839722453,0.00198935345795049,2.46296465823865e-06,-207.365070103465,0.00195067752697452,6.67219335542678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","treatment","02-343","feb 24",TRUE,"gompertz",FALSE,FALSE,0,1.38434421637036e-05,-97.9910234990584,0.0270079197209533,88.6509555308034,2.9518528074439e-07,21.4544866602606,0.000144045391958769,1.33578623768791e-05,1.43290219505281e-05,-133.283654055187,-62.6983929429297,0.0267709650511812,0.0272448743907255,1.32648790134446e-05,1.44220053139626e-05,-140.041817353169,-55.9402296449476,0.0267255907527142,0.0272902486891925,5.45070214761481e-05,8.40969118793081,0.0314610529147944,88.4867472205089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","treatment","ec124","feb 24",TRUE,"logistic",FALSE,FALSE,0,7.05603788697917e-07,-761.426405396069,0.00208449145836155,7.05197297386916,4.69789637681143e-08,115.716634701376,3.34061833040033e-05,6.28323393299369e-07,7.82884184096465e-07,-951.780269479832,-571.072541312305,0.00202953828682647,0.00213944462989664,6.13525019712413e-07,7.97682557683421e-07,-988.231009410766,-534.621801381372,0.00201901533908571,0.0021499675776374,2.97931485091212e-05,1381.89847723991,0.00212610627106014,7.06475477332058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","treatment","11-228","feb 24",TRUE,"gompertz",FALSE,FALSE,0,2.48830553489851e-06,-314.644679848007,0.00595323198083143,19.1807975112853,8.46575708902117e-08,41.8957552526637,5.87036778146116e-05,2.34904383078411e-06,2.62756723901291e-06,-383.563197238639,-245.726162457375,0.0058566644308264,0.00604979953083647,2.32237669595369e-06,2.65423437384333e-06,-396.760360143228,-232.528999552786,0.0058381727723148,0.00606829118934807,9.00550443052775e-06,71.7506174531711,0.00600617610326693,19.1409274446722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","treatment","scc187","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00121239419413087,4007.49999977091,0.385239146043179,83.9687740758207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","treatment","ec116","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015763739980092,14.903690441137,0.000886661449329054,0.0178418605977397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","treatment","p. caro","feb 24",TRUE,"logistic",FALSE,FALSE,0,1.60233785968839e-06,389.65783308757,0.00104842706433591,3.791071174652,2.63165868385561e-07,61.339629454872,1.8290716456403e-05,1.16943000619414e-06,2.03524571318264e-06,288.754142634305,490.561523540834,0.00101833883576513,0.00107851529290669,1.08653275765269e-06,2.11814296172409e-06,269.432159356021,509.883506819119,0.00101257726008136,0.00108427686859046,1.34000186143969e-06,317.213996394603,0.00121064976424942,3.78725076861182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","treatment","ec52","feb 24",TRUE,"gompertz",FALSE,FALSE,0,0.00110349334080994,504.631631704319,1.51883256141498,4605.73590903678,3.47056880554048e-05,22.4441376301094,0.0102523999467324,0.0010464024839588,0.00116058419766108,467.711025302789,541.552238105849,1.50196736350261,1.53569775932735,0.00103547019222134,0.00117151648939853,460.641121949305,548.622141459334,1.49873785751938,1.53892726531058,0.00212854995620717,696.910483525824,1.78738263405319,4584.08744882852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","treatment","62-268","feb 24",TRUE,"richards",FALSE,FALSE,0,0.00191078337371337,1533.77239499598,1.50283076318359,3914.86679374346,0.000296837833904217,100.331988766832,0.014888050782104,0.00142248513694094,0.00239908161048581,1368.72627347454,1698.81851651742,1.47833991964702,1.52732160672015,0.00132898121926111,0.00249258552816564,1337.12169701299,1730.42309297897,1.47365018365066,1.53201134271651,0.0133345952149586,1170.05685777232,1.5284139520901,3901.43413743935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","treatment","ec102","feb 24",TRUE,"richards",FALSE,FALSE,0,2.48710998032395e-05,1097.79673048171,0.058520048187582,128.713199894143,1.14608894519737e-06,72.6704926786898,0.00121859443066881,2.29857834883898e-05,2.67564161180892e-05,978.25377002527,1217.33969093816,0.0565154603491318,0.0605246360260322,2.26247654706526e-05,2.71174341358263e-05,955.362564831483,1240.23089613195,0.0561316031034711,0.0609084932716929,2.42387332497513e-05,1084.59495761164,0.0571030798975823,128.20405665278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","treatment","q1f2","feb 24",TRUE,"logistic",FALSE,FALSE,0,0.00233725700723267,816.630051047907,1.07280237755856,3528.29277824714,0.000200862875845297,22.5620019533598,0.00847497018788254,0.00200683757646715,0.00266767643799818,779.51555783463,853.744544261184,1.05886105159949,1.08674370351763,0.00194356577057588,0.00273094824388945,772.408527219322,860.851574876493,1.05619143599031,1.08941331912681,0.00259372809115101,853.89632180103,1.32318998034916,3531.83464102559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","treatment","q1b4","feb 24",TRUE,"gompertz",FALSE,FALSE,0,1.16109925032438e-06,138.817653073548,0.00330761452314527,8.54006400571185,4.29610457111249e-08,47.5479973497686,6.46643476493074e-05,1.09042833012957e-06,1.23177017051918e-06,60.6011974331783,217.034108713917,0.00320124167126216,0.00341398737502838,1.07689560073057e-06,1.24530289991818e-06,45.6235782680012,232.011727879094,0.00318087240175262,0.00343435664453791,1.65685477669997e-05,427.369243789927,0.00302616799119514,8.52749981262312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","control","bb362","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81150777574412e-05,12.091367017111,0.00110206181106372,0.119852512403696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","control","02-343","feb 24",TRUE,"logistic",FALSE,FALSE,0,2.70320896890599e-05,-98.9946507062081,0.034337315180048,128.511776942885,2.93954160462664e-07,8.06524512954939,4.90772918753108e-05,2.65485350950988e-05,2.7515644283021e-05,-112.261978944317,-85.7273224680993,0.0342565830349131,0.0344180473251829,2.64559395345531e-05,2.76082398435668e-05,-114.802531160125,-83.1867702522913,0.0342411236879724,0.0344335066721236,0.000481138234238826,14.4608456773888,0.0360393916675794,128.54193160036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","control","ec124","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","control","11-228","feb 24",TRUE,"gompertz",FALSE,FALSE,0,8.85729086160471e-07,834.470026600119,0.00370301599496618,5.45514018926228,8.06967667253036e-08,151.370676905327,0.000742042251953684,7.52982904897346e-07,1.0184752674236e-06,585.465263090856,1083.47479010938,0.00248235649050237,0.00492367549942999,7.27563423378876e-07,1.04389474894207e-06,537.783499865678,1131.15655333456,0.00224861318113696,0.0051574188087954,5.80090881765018e-05,3520.86139369553,0.00405292432733568,5.40762379235572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","control","scc187","feb 24",TRUE,"gompertz",FALSE,FALSE,0,0.00110563542457447,1880.29751771531,0.581535526305521,1250.02282490064,1.88825421964239e-05,4.83714993708317,0.00135862418176782,0.00107457364266136,0.00113669720648759,1872.3404060688,1888.25462936181,0.579300589526513,0.583770463084529,0.00106862564186948,0.00114264520727946,1870.81670383862,1889.77833159199,0.578872622909256,0.584198429701786,0.00149624672347687,1941.90286563754,0.629594613235718,1250.92713275926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","control","ec116","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","control","p. caro","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","control","ec52","feb 24",TRUE,"logistic",FALSE,FALSE,0,0.00169773033705187,674.132944606713,0.763486280136019,2623.31479729231,0.000147818967547707,22.403960341913,0.00589421961619771,0.00145456813543589,0.00194089253866785,637.278429844266,710.98745936916,0.753790288867374,0.773182271404665,0.00140800516065837,0.00198745551344538,630.221182336564,718.044706876863,0.751933609688272,0.775038950583767,0.00170347761607412,664.230449996304,0.947695708103867,2627.76554301198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","control","62-268","feb 24",TRUE,"gompertz",FALSE,FALSE,0,0.00103127243903825,663.095966253347,1.3529938464826,3938.99599424494,5.5875784304297e-05,36.8815728222386,0.0156391178105617,0.000939356773857681,0.00112318810421882,602.425778960764,723.766153545929,1.32726749768423,1.37872019528097,0.000921755901801828,0.00114078897627467,590.808083521759,735.383848984935,1.3223411755739,1.3836465173913,0.00297246794124019,938.51361846604,1.56629178357859,3934.8643986093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","control","ec102","feb 24",TRUE,"logistic",FALSE,FALSE,0,4.11475971877578e-05,1375.33256716271,0.0813538052792719,160.750052919116,7.04398928692955e-07,17.9000720828853,0.000630556465591718,3.99888609500578e-05,4.23063334254577e-05,1345.88694858636,1404.77818573906,0.0803165398933735,0.0823910706651702,3.97669752875196e-05,4.25282190879959e-05,1340.24842588025,1410.41670844516,0.0801179146067121,0.0825896959518316,0.000357754771789892,2052.45831157296,0.0832163374929073,161.001322268155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","control","q1f2","feb 24",TRUE,"gompertz",FALSE,FALSE,0,0.000533044124434177,540.716071858644,0.428921417050893,1427.19298763424,3.23841425172753e-05,26.3341372696633,0.00354050365332224,0.00047977220999326,0.000586316038875095,497.396416050048,584.03572766724,0.423097288541178,0.434745545560608,0.000469571205100318,0.000596517043768037,489.101162810104,592.330980907184,0.421982029890381,0.435860804211404,0.00215282062859491,981.393145303572,0.557162485796967,1425.89875249666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","control","q1b4","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.52785888445084e-06,2159.74998373425,0.000526403180488697,0.255031963812982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","control","bb362","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","control","02-343","feb 24",TRUE,"logistic",FALSE,FALSE,0,2.02301822121727e-05,-25.6678560125249,0.0230403882086451,86.3993512482393,2.10911224125391e-07,6.87672988903556,3.05499227869054e-05,1.98832332484865e-05,2.0577131175859e-05,-36.9800766799884,-14.3556353450614,0.0229901335856606,0.0230906428316295,1.9816796212887e-05,2.06435682114585e-05,-39.1462465950346,-12.1894654300152,0.0229805103599827,0.0231002660573074,0.000483442577100529,14.988896048373,0.0231366887456882,86.4164244079604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","control","ec124","feb 24",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
