"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","apr 15",TRUE,"gompertz",FALSE,FALSE,0,1.28143289791204e-05,-261.563862139722,0.0168982207748264,63.7164766942541,2.3732708417338e-07,14.2423126518065,4.30206794416156e-05,1.24239259256552e-05,1.32047320325856e-05,-284.992466451944,-238.135257827501,0.0168274517571449,0.0169689897925078,1.23491678941406e-05,1.32794900641003e-05,-289.478794937263,-233.648929342182,0.0168139002431208,0.0169825413065319,4.65417578621979e-05,6.18352880440949,0.0170114595333459,63.6953012147688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","treatment","02-343","apr 15",TRUE,"richards",FALSE,FALSE,0,1.08488235781821e-05,-220.647122234933,0.0204063360282612,63.4193224317803,1.03529388810464e-06,38.2875654619001,0.000184276695146264,9.14576513224998e-06,1.25518820241142e-05,-283.630167419759,-157.664077050107,0.0201032008647456,0.0207094711917768,8.81964755749702e-06,1.28779995988672e-05,-295.690750540257,-145.603493929609,0.0200451537057746,0.0207675183507479,6.07871255062179e-05,12.5435392968963,0.020012385386267,63.4348031970592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","apr 15",TRUE,"gompertz",FALSE,FALSE,0,1.06067750761395e-05,-410.897712564413,0.0185475209603456,67.5663176104757,2.45022033007636e-07,23.5405773660921,7.17654475937308e-05,1.02037138318419e-05,1.10098363204371e-05,-449.621962331635,-372.173462797192,0.0184294667990539,0.0186655751216372,1.01265318914445e-05,1.10870182608345e-05,-457.037244201954,-364.758180926873,0.0184068606830618,0.0186881812376293,4.85371389182572e-05,6.53076301009299,0.0190148851932172,67.5353307441644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","apr 15",TRUE,"gompertz",FALSE,FALSE,0,1.13569312335264e-05,-385.243522472266,0.0195375221514645,71.1025969971797,2.47159162640093e-07,21.6792474482247,7.14368646332371e-05,1.09503544109835e-05,1.17635080560694e-05,-420.905884524596,-349.581160419937,0.0194200085091428,0.0196550357937862,1.08724992747519e-05,1.1841363192301e-05,-427.734847470787,-342.752197473746,0.0193975058967834,0.0196775384061457,4.87812551606509e-05,6.44998263209183,0.0200081383734754,71.0677920669537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","apr 15",TRUE,"gompertz",FALSE,FALSE,0,1.08333292807552e-05,-342.970520436268,0.0177918862382982,64.9515184262354,2.2853480872402e-07,19.9487039945392,6.18160365437689e-05,1.04573895204042e-05,1.12092690411062e-05,-375.786138507285,-310.154902365251,0.0176901988581837,0.0178935736184127,1.03854010556561e-05,1.12812575058543e-05,-382.069980265565,-303.871060606971,0.0176707268066724,0.017913045669924,3.93777292380249e-05,3.66389204508017,0.0185530993856419,64.9159295738598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","apr 15",TRUE,"gompertz",FALSE,FALSE,0,1.03228140127236e-05,-371.497618285277,0.0177664035898267,64.4622586503592,2.44369920599073e-07,23.4514052975653,7.16821862112182e-05,9.92082549333809e-06,1.0724802532109e-05,-410.075179999772,-332.920056570782,0.0176484863935092,0.0178843207861441,9.84384896834939e-06,1.08017790570978e-05,-417.462372668505,-325.532863902049,0.0176259065048527,0.0179069006748007,3.78640353162528e-05,8.5252466004576,0.0188437286211882,64.4203813926636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","treatment","p. caro","apr 15",TRUE,"gompertz",FALSE,FALSE,0,1.08940586633714e-05,-395.523261050871,0.0186948636455865,68.226412031877,2.48645125205636e-07,22.7979453918756,7.07040436637073e-05,1.04850374324081e-05,1.13030798943346e-05,-433.025881220507,-358.020640881236,0.0185785554937597,0.0188111717974133,1.04067142179683e-05,1.13814031087744e-05,-440.207234018947,-350.839288082795,0.0185562837200056,0.0188334435711674,3.85358513553936e-05,-3.80702430814051,0.0195420551766949,68.1886893970441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","apr 15",TRUE,"gompertz",FALSE,FALSE,0,0.00153854339930722,1476.55446515548,1.47589973514791,3375.60191000977,8.18715829532061e-06,2.6660716148668,0.00157915195408359,0.00152507552391142,0.00155201127470302,1472.16877734902,1480.94015296194,1.47330203018344,1.47849744011238,0.00152249656904839,0.00155459022956605,1471.32896479034,1481.77996552062,1.47280459731791,1.47899487297791,0.00190194491494218,1544.22713408307,1.47597102635511,3392.18957592845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","apr 15",TRUE,"gompertz",FALSE,FALSE,0,1.06344896797769e-05,-355.985375612794,0.0182072154629025,65.9353265983977,2.53419946367118e-07,23.3650323400249,7.45565563211561e-05,1.0217613868003e-05,1.10513654915508e-05,-394.420853812135,-317.549897413453,0.0180845699277542,0.0183298609980508,1.01377865848973e-05,1.11311927746564e-05,-401.780838999243,-310.189912226345,0.018061084612513,0.0183533463132919,4.10645535539382e-05,14.8355842130711,0.0190110577308125,65.8882349227528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","apr 15",TRUE,"gompertz",FALSE,FALSE,0,1.13859961461905e-05,-364.91970260134,0.0191656799821717,69.8496897529167,2.60289030483755e-07,22.2217108335071,7.29332391827189e-05,1.09578206910447e-05,1.18141716013363e-05,-401.474416922459,-328.364988280221,0.0190457048037161,0.0192856551606272,1.08758296464423e-05,1.18961626459387e-05,-408.474255835014,-321.365149367666,0.0190227308333735,0.0193086291309698,3.56275152683937e-05,-5.47619547418611,0.0200086450981474,69.8052206635922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
