"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","feb 15",TRUE,"gompertz",FALSE,FALSE,0,6.8405948713956e-05,15.3824365181471,0.0119631123151796,50.4481387857483,9.29988469386911e-06,13.1907482865701,7.98039130946591e-05,5.31076383925413e-05,8.37042590353707e-05,-6.3163444132607,37.0812174495549,0.0118318348781389,0.0120943897522203,5.01781747139726e-05,8.66337227139395e-05,-10.4714301235303,41.2363031598245,0.0118066966455141,0.0121195279848451,7.20320037702253e-05,12.6833770238549,0.0140379457267717,50.4597341638754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","treatment","02-343","feb 15",TRUE,"gompertz",FALSE,FALSE,0,1.55847645431656e-05,-557.613511691274,0.0382670665482083,129.353250944566,3.65214339393007e-07,31.5767101456412,0.000223858376412693,1.49839869548641e-05,1.61855421314671e-05,-609.557199880854,-505.669823501694,0.0378988195190094,0.0386353135774072,1.48689444379553e-05,1.63005846483759e-05,-619.503863576731,-495.723159805817,0.0378283041304394,0.0387058289659772,8.33759009675973e-05,7.40132272076687,0.0399939980227938,129.25168550409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","feb 15",TRUE,"gompertz",FALSE,FALSE,0,3.17746523758157e-05,-67.6189247373881,0.015922932984091,65.2648373673397,1.68515193634348e-06,15.4951207675212,6.42822207859902e-05,2.90025774405307e-05,3.45467273111007e-05,-93.1083983999605,-42.1294510748158,0.0158171887308981,0.016028677237284,2.84717545805825e-05,3.50775501710489e-05,-97.9893614417296,-37.2484880330466,0.0157969398313505,0.0160489261368316,6.80616486117793e-05,14.4388271374152,0.0172259724675601,65.2423788954437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","feb 15",TRUE,"richards",FALSE,FALSE,0,0.000854794343028871,2095.65062354947,0.566643146274459,1182.66295366035,3.77106260647209e-05,24.1774741336314,0.00159087306758944,0.000792760363152405,0.000916828322905337,2055.87867859965,2135.4225684993,0.564026160078274,0.569260132470643,0.000780881515942018,0.000928707170115724,2048.26277424756,2143.03847285139,0.563525035061983,0.569761257486934,0.000934543522710762,2105.0358879809,0.602115406729614,1189.1334374783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","feb 15",TRUE,"gompertz",FALSE,FALSE,0,4.06014069496602e-05,-20.7159729870881,0.0145633049169974,60.3177872458889,1.43709117526152e-06,7.20576696639655,3.47349982685429e-05,3.8237391966355e-05,4.29654219329654e-05,-32.5694596468104,-8.86248632736579,0.0145061658448457,0.0146204439891492,3.77847082461476e-05,4.34181056531728e-05,-34.8392762412253,-6.59266973295087,0.0144952243203911,0.0146313855136038,6.40948348240992e-05,12.0927637384231,0.015044648807518,60.3069042613888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","feb 15",TRUE,"gompertz",FALSE,FALSE,0,2.86024903001046e-05,-54.805510694731,0.0147392667960538,60.1342020028604,1.89671172758879e-06,19.6409024205791,7.8108428322423e-05,2.5482399508221e-05,3.17225810919882e-05,-87.1147951765837,-22.4962262128784,0.0146107784314635,0.0148677551606442,2.48849353140306e-05,3.23200452861786e-05,-93.3016794390661,-16.309341950396,0.0145861742765419,0.0148923593155658,5.20572494937441e-05,13.846555779229,0.0170711228929597,60.0974031015092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","treatment","p. caro","feb 15",TRUE,"gompertz",FALSE,FALSE,0,3.63428244418435e-05,-17.7479585934096,0.0157483243228393,64.4972459478339,2.60317565066809e-06,17.4693746206202,8.61925175088822e-05,3.20606004964944e-05,4.06250483871925e-05,-46.4850798443299,10.9891626575106,0.0156065376315371,0.0158901110141414,3.1240600166534e-05,4.14450487171529e-05,-51.9879328498252,16.492015663006,0.0155793869885218,0.0159172616571567,5.79851508788244e-05,22.0532482865008,0.0180200075659494,64.4589152065914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","feb 15",TRUE,"gompertz",FALSE,FALSE,0,0.000910001303208108,592.536100578414,2.17853890656234,5199.04200354582,2.63267542203839e-05,31.7120244273332,0.030650597269451,0.000866693792515576,0.000953308813900639,540.36982039545,644.702380761377,2.12811867405409,2.22895913907059,0.000858400864936155,0.00096160174148006,530.38053270084,654.691668455987,2.11846373591422,2.23861407721046,0.00483698521825442,2611.96948298005,2.13220019498968,5161.89484266162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","feb 15",TRUE,"logistic",FALSE,FALSE,0,0.0113161099621955,1314.82419513708,1.45518899292598,4301.3624802106,0.00278673766418185,18.1815255084597,0.0176231184372134,0.00673192650461632,0.0159002934197746,1284.91558567566,1344.7328045985,1.42619896309677,1.4841790227552,0.00585410414039903,0.0167781157839919,1279.1884051405,1350.45998513366,1.42064768078904,1.48973030506292,0.0194661648662003,3258.12198703577,1.74799550762186,4348.23359348963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","feb 15",TRUE,"gompertz",FALSE,FALSE,0,8.44180339569405e-06,-773.759681614202,0.0198055639822001,71.1136619486393,3.06694209413011e-07,51.7039968951377,0.000136402375647329,7.93729142120964e-06,8.94631537017845e-06,-858.812756506704,-688.706606721701,0.0195811820742602,0.0200299458901399,7.84068274524454e-06,9.04292404614355e-06,-875.099515528672,-672.419847699732,0.0195382153259313,0.0200729126384688,5.48959583664281e-05,11.2872386949249,0.0210845115102535,71.1062286901536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
