"","well","time","value","microbe","treatment"
"1","A1","0:13:38",0.09,"bb362","treatment"
"2","A1","0:28:38",0.089,"bb362","treatment"
"3","A1","0:43:38",0.089,"bb362","treatment"
"4","A1","0:58:38",0.09,"bb362","treatment"
"5","A1","1:13:38",0.09,"bb362","treatment"
"6","A1","1:28:38",0.089,"bb362","treatment"
"7","A1","1:43:38",0.09,"bb362","treatment"
"8","A1","1:58:38",0.089,"bb362","treatment"
"9","A1","2:13:38",0.09,"bb362","treatment"
"10","A1","2:28:38",0.09,"bb362","treatment"
"11","A1","2:43:38",0.09,"bb362","treatment"
"12","A1","2:58:38",0.09,"bb362","treatment"
"13","A1","3:13:38",0.09,"bb362","treatment"
"14","A1","3:28:38",0.09,"bb362","treatment"
"15","A1","3:43:38",0.09,"bb362","treatment"
"16","A1","3:58:38",0.09,"bb362","treatment"
"17","A1","4:13:38",0.09,"bb362","treatment"
"18","A1","4:28:38",0.09,"bb362","treatment"
"19","A1","4:43:38",0.09,"bb362","treatment"
"20","A1","4:58:38",0.09,"bb362","treatment"
"21","A1","5:13:38",0.09,"bb362","treatment"
"22","A1","5:28:38",0.09,"bb362","treatment"
"23","A1","5:43:38",0.09,"bb362","treatment"
"24","A1","5:58:38",0.09,"bb362","treatment"
"25","A1","6:13:38",0.089,"bb362","treatment"
"26","A1","6:28:38",0.09,"bb362","treatment"
"27","A1","6:43:38",0.09,"bb362","treatment"
"28","A1","6:58:38",0.09,"bb362","treatment"
"29","A1","7:13:38",0.09,"bb362","treatment"
"30","A1","7:28:38",0.09,"bb362","treatment"
"31","A1","7:43:38",0.089,"bb362","treatment"
"32","A1","7:58:38",0.09,"bb362","treatment"
"33","A1","8:13:38",0.09,"bb362","treatment"
"34","A1","8:28:38",0.09,"bb362","treatment"
"35","A1","8:43:38",0.09,"bb362","treatment"
"36","A1","8:58:38",0.09,"bb362","treatment"
"37","A1","9:13:38",0.09,"bb362","treatment"
"38","A1","9:28:38",0.09,"bb362","treatment"
"39","A1","9:43:38",0.09,"bb362","treatment"
"40","A1","9:58:38",0.09,"bb362","treatment"
"41","A1","10:13:38",0.09,"bb362","treatment"
"42","A1","10:28:38",0.09,"bb362","treatment"
"43","A1","10:43:38",0.09,"bb362","treatment"
"44","A1","10:58:38",0.09,"bb362","treatment"
"45","A1","11:13:38",0.09,"bb362","treatment"
"46","A1","11:28:38",0.09,"bb362","treatment"
"47","A1","11:43:38",0.09,"bb362","treatment"
"48","A1","11:58:38",0.09,"bb362","treatment"
"49","A1","12:13:38",0.09,"bb362","treatment"
"50","A1","12:28:38",0.09,"bb362","treatment"
"51","A1","12:43:38",0.09,"bb362","treatment"
"52","A1","12:58:38",0.09,"bb362","treatment"
"53","A1","13:13:38",0.09,"bb362","treatment"
"54","A1","13:28:38",0.09,"bb362","treatment"
"55","A1","13:43:38",0.09,"bb362","treatment"
"56","A1","13:58:38",0.09,"bb362","treatment"
"57","A1","14:13:38",0.09,"bb362","treatment"
"58","A1","14:28:38",0.09,"bb362","treatment"
"59","A1","14:43:38",0.09,"bb362","treatment"
"60","A1","14:58:38",0.09,"bb362","treatment"
"61","A1","15:13:38",0.09,"bb362","treatment"
"62","A1","15:28:38",0.09,"bb362","treatment"
"63","A1","15:43:38",0.09,"bb362","treatment"
"64","A1","15:58:38",0.09,"bb362","treatment"
"65","A1","16:13:38",0.09,"bb362","treatment"
"66","A1","16:28:38",0.09,"bb362","treatment"
"67","A1","16:43:38",0.09,"bb362","treatment"
"68","A1","16:58:38",0.09,"bb362","treatment"
"69","A1","17:13:38",0.09,"bb362","treatment"
"70","A1","17:28:38",0.09,"bb362","treatment"
"71","A1","17:43:38",0.09,"bb362","treatment"
"72","A1","17:58:38",0.09,"bb362","treatment"
"73","A1","18:13:38",0.09,"bb362","treatment"
"74","A1","18:28:38",0.09,"bb362","treatment"
"75","A1","18:43:38",0.09,"bb362","treatment"
"76","A1","18:58:38",0.09,"bb362","treatment"
"77","A1","19:13:38",0.09,"bb362","treatment"
"78","A1","19:28:38",0.09,"bb362","treatment"
"79","A1","19:43:38",0.09,"bb362","treatment"
"80","A1","19:58:38",0.091,"bb362","treatment"
"81","A1","20:13:38",0.09,"bb362","treatment"
"82","A1","20:28:38",0.091,"bb362","treatment"
"83","A1","20:43:38",0.091,"bb362","treatment"
"84","A1","20:58:38",0.091,"bb362","treatment"
"85","A1","21:13:38",0.09,"bb362","treatment"
"86","A1","21:28:38",0.091,"bb362","treatment"
"87","A1","21:43:38",0.09,"bb362","treatment"
"88","A1","21:58:38",0.09,"bb362","treatment"
"89","A1","22:13:38",0.091,"bb362","treatment"
"90","A1","22:28:38",0.091,"bb362","treatment"
"91","A1","22:43:38",0.091,"bb362","treatment"
"92","A1","22:58:38",0.091,"bb362","treatment"
"93","A1","23:13:38",0.091,"bb362","treatment"
"94","A1","23:28:38",0.091,"bb362","treatment"
"95","A1","23:43:38",0.091,"bb362","treatment"
"96","A1","23:58:38",0.091,"bb362","treatment"
"97","A1","24:13:38",0.091,"bb362","treatment"
"98","A1","24:28:38",0.091,"bb362","treatment"
"99","A1","24:43:38",0.091,"bb362","treatment"
"100","A1","24:58:38",0.091,"bb362","treatment"
"101","A1","25:13:38",0.091,"bb362","treatment"
"102","A1","25:28:38",0.091,"bb362","treatment"
"103","A1","25:43:38",0.09,"bb362","treatment"
"104","A1","25:58:38",0.09,"bb362","treatment"
"105","A1","26:13:38",0.09,"bb362","treatment"
"106","A1","26:28:38",0.09,"bb362","treatment"
"107","A1","26:43:38",0.09,"bb362","treatment"
"108","A1","26:58:38",0.09,"bb362","treatment"
"109","A1","27:13:38",0.09,"bb362","treatment"
"110","A1","27:28:38",0.091,"bb362","treatment"
"111","A1","27:43:38",0.091,"bb362","treatment"
"112","A1","27:58:38",0.091,"bb362","treatment"
"113","A1","28:13:38",0.091,"bb362","treatment"
"114","A1","28:28:38",0.091,"bb362","treatment"
"115","A1","28:43:38",0.091,"bb362","treatment"
"116","A1","28:58:38",0.091,"bb362","treatment"
"117","A1","29:13:38",0.091,"bb362","treatment"
"118","A1","29:28:38",0.09,"bb362","treatment"
"119","A1","29:43:38",0.09,"bb362","treatment"
"120","A1","29:58:38",0.09,"bb362","treatment"
"121","A1","30:13:38",0.09,"bb362","treatment"
"122","A1","30:28:38",0.09,"bb362","treatment"
"123","A1","30:43:38",0.09,"bb362","treatment"
"124","A1","30:58:38",0.09,"bb362","treatment"
"125","A1","31:13:38",0.09,"bb362","treatment"
"126","A1","31:28:38",0.09,"bb362","treatment"
"127","A1","31:43:38",0.09,"bb362","treatment"
"128","A1","31:58:38",0.09,"bb362","treatment"
"129","A1","32:13:38",0.091,"bb362","treatment"
"130","A1","32:28:38",0.091,"bb362","treatment"
"131","A1","32:43:38",0.091,"bb362","treatment"
"132","A1","32:58:38",0.092,"bb362","treatment"
"133","A1","33:13:38",0.091,"bb362","treatment"
"134","A1","33:28:38",0.092,"bb362","treatment"
