"","treatment","microbe","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","treatment","bb362","feb 11",TRUE,"logistic",FALSE,FALSE,0,1.5548958107211e-06,1251.37194754348,0.00223214856964726,5.27856873151755,1.28240559837327e-07,65.4651659448029,4.6535092032599e-05,1.34394008978869e-06,1.7658515316535e-06,1143.68174956428,1359.06214552268,0.00215559834325363,0.00230869879604089,1.30354431343994e-06,1.80624730800226e-06,1123.06022229166,1379.68367279529,0.00214093978926337,0.00232335735003115,1.77026105091187e-05,1897.07186482559,0.00262752286125942,5.26343379543561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","treatment","02-343","feb 11",TRUE,"richards",FALSE,FALSE,0,7.92522535953483e-06,146.289002375568,0.00895656636457311,32.1075109581317,1.57677344208633e-07,13.0370000574126,2.72604056830343e-05,7.66584612831163e-06,8.18460459075803e-06,124.843137281124,167.734867470012,0.00891172299722452,0.0090014097319217,7.61617776488591e-06,8.23427295418375e-06,120.736482263039,171.841522488096,0.00890313596943436,0.00900999675971186,8.01407988173226e-06,165.829618500135,0.00902185340323137,32.106002891861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","treatment","ec124","feb 11",TRUE,"gompertz",FALSE,FALSE,0,1.03125023588879e-06,1664.56228467705,0.000807767909216172,1.79003539954181,2.56684067987464e-07,103.141025112474,3.54366429537701e-05,6.09004944049416e-07,1.45349552772817e-06,1494.89529836703,1834.22927098707,0.00074947463155722,0.000866061186875123,5.28149462633365e-07,1.53435100914422e-06,1462.4058754566,1866.7186938975,0.000738312089026782,0.000877223729405561,7.42438918638192e-07,1538.11329959435,0.000857636033167853,1.77852903715796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","treatment","11-228","feb 11",TRUE,"gompertz",FALSE,FALSE,0,9.0371793678878e-07,-286.335153253468,0.00349686456562262,8.63692553252563,3.92367382282401e-08,71.8573844641602,0.000115378799339903,8.39173502403325e-07,9.68262371174235e-07,-404.540550697012,-168.129755809925,0.00330706644070848,0.00368666269053676,8.2681392986143e-07,9.80621943716131e-07,-427.175626803222,-145.494679703714,0.00327072211891641,0.00372300701232883,8.42813803558689e-06,2455.58174513202,0.00300615996287767,8.63270781665807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","treatment","scc187","feb 11",TRUE,"gompertz",FALSE,FALSE,0,4.75320575459091e-07,566.723550399929,0.00209720919060312,3.3686283851478,3.05564928795596e-08,111.113895923271,0.000277823499806874,4.25055144672216e-07,5.25586006245967e-07,383.941191606148,749.50590919371,0.00164018953342081,0.00255422884778542,4.15429849415154e-07,5.35211301503028e-07,348.940314390318,784.50678640954,0.00155267513098164,0.00264174325022459,3.12426546044315e-06,3424.60155625485,0.0020326941469286,3.32981782213431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","treatment","ec116","feb 11",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","treatment","p. caro","feb 11",TRUE,"logistic",FALSE,FALSE,0,0.00156890680962334,23.5698604156762,0.0103449486521655,44.6116674885454,0.0249376224526187,102.208138145776,6.59355637695999e-05,-0.0394534821249344,0.042591295744181,-144.562526834125,191.702247665477,0.0102364846497645,0.0104534126545665,-0.0473088331975092,0.0504466468167559,-176.758090350044,223.897811181396,0.0102157149471771,0.0104741823571539,0.000982709636956071,14.8596380819772,0.0121138416577082,44.6268599515062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","treatment","ec52","feb 11",TRUE,"gompertz",FALSE,FALSE,0,0.0008730611198045,837.820102948166,1.17831842703007,3199.44338292814,7.73985658965631e-06,6.14532150258093,0.00242288247251444,0.000860329055714515,0.000885793183894484,827.71104907642,847.929156819911,1.17433278536278,1.18230406869736,0.000857891000888773,0.000888231238720226,825.775272803107,849.864933093224,1.17356957738394,1.1830672766762,0.00112642321733592,922.716653829549,1.2150157985608,3194.2395065722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","treatment","62-268","feb 11",TRUE,"richards",FALSE,FALSE,0,0.00012905931240973,1991.93943611652,0.107364818332475,217.12855848297,5.76824947369103e-06,26.6956760727479,0.000650596082642677,0.000119570542025508,0.000138548082793951,1948.02504897685,2035.85382325619,0.106294587776528,0.108435048888423,0.000117753543441295,0.000140365081378164,1939.61591101393,2044.2629612191,0.106089650010496,0.108639986654455,0.000132933284027113,1990.6023729426,0.136018303130234,217.768594190329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","treatment","ec102","feb 11",TRUE,"richards",FALSE,FALSE,0,7.83748880770328e-06,469.64728058182,0.025421781464541,52.1328262575966,1.7419641221861e-07,31.3380070728898,0.000854589900831886,7.55093570960366e-06,8.12404190580289e-06,418.096258946916,521.198302216723,0.0240159810776725,0.0268275818514094,7.4960638397548e-06,8.17891377565175e-06,408.224786718956,531.069774444684,0.0237467852589105,0.0270967776701715,3.75487927999726e-05,3483.28949631354,0.0240510587212036,52.2061627805305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
